               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092858,            0.032974,                   0,             0.17602,             0.37135,             0.16675,            0.043019,            0.061136,            0.020348,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.058997,            0.027426,                   0,             0.75416,             0.74047,             0.80447,              0.3346,            0.045843,            0.016666,                   0,            0.055738,           0.0047383,           0.0047383
                   2,            0.051849,            0.021311,                   0,              0.4866,             0.68384,             0.53858,             0.19971,             0.04905,            0.011433,                   0,            0.032912,           0.0069116,           0.0069116
                   3,            0.049365,            0.019209,                   0,             0.56885,             0.60195,             0.62079,             0.20827,            0.047098,            0.010172,                   0,           0.0099199,           0.0089199,           0.0089199
                   4,            0.043428,            0.017271,                   0,             0.76093,              0.7878,             0.85999,             0.40642,            0.040395,           0.0092575,                   0,             0.00868,             0.00868,             0.00868
                   5,            0.039903,            0.016274,                   0,             0.84231,             0.76658,              0.8249,             0.43982,            0.037658,            0.010728,                   0,             0.00868,             0.00868,             0.00868
                   6,             0.03523,            0.014686,                   0,             0.87931,             0.86964,             0.90005,             0.53688,            0.037513,             0.00904,                   0,             0.00835,             0.00835,             0.00835
                   7,             0.03393,            0.014418,                   0,             0.93081,             0.92779,             0.95076,             0.55971,            0.027894,           0.0081755,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.030761,            0.013875,                   0,             0.92637,             0.93441,             0.95619,             0.59616,            0.028956,           0.0080762,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.031382,            0.013614,                   0,             0.91493,             0.94141,             0.95685,             0.59967,            0.030431,           0.0077643,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.029419,             0.01348,                   0,             0.92497,              0.9156,             0.95144,             0.59915,            0.028783,           0.0079628,                   0,             0.00703,             0.00703,             0.00703
                  11,             0.02835,            0.013288,                   0,             0.94966,             0.90981,             0.95599,             0.65773,             0.02473,           0.0078674,                   0,              0.0067,              0.0067,              0.0067
                  12,               0.027,            0.013895,                   0,             0.92444,             0.94116,             0.96135,             0.64134,            0.025172,           0.0075815,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.026659,            0.012883,                   0,             0.93267,             0.94164,             0.96547,             0.67443,            0.024508,            0.007425,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.025718,            0.011814,                   0,             0.92159,             0.93523,             0.96493,             0.67606,            0.024197,           0.0074333,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.025475,            0.012266,                   0,             0.94751,             0.92838,             0.97203,             0.67437,            0.022783,            0.007464,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.024262,             0.01208,                   0,             0.94202,              0.9482,             0.96724,             0.68014,            0.023188,           0.0071377,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.023058,            0.012114,                   0,             0.93644,             0.95756,             0.96813,             0.67747,            0.023286,           0.0071641,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.022895,            0.011511,                   0,             0.93947,             0.94688,              0.9706,             0.69437,            0.022278,           0.0070191,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.022877,            0.010985,                   0,             0.94139,             0.95491,             0.96529,              0.6834,            0.022045,           0.0070356,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.022236,            0.012004,                   0,              0.9544,             0.95225,             0.96867,             0.67966,            0.022707,           0.0072014,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.021996,            0.011401,                   0,             0.92391,             0.95756,              0.9649,             0.68756,            0.022159,           0.0073084,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.021186,            0.010928,                   0,             0.95226,             0.95238,             0.97265,             0.70039,            0.022141,           0.0070304,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.020762,            0.011177,                   0,              0.9492,             0.95756,              0.9702,              0.6957,            0.021813,           0.0073372,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.020852,            0.011144,                   0,             0.94719,             0.95148,             0.97304,             0.70955,            0.021741,           0.0071176,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.020571,             0.01106,                   0,             0.94272,             0.97082,             0.97703,             0.71665,            0.021708,           0.0068696,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.020543,            0.010945,                   0,             0.95271,              0.9443,             0.97795,             0.71247,            0.021581,           0.0068527,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.019523,            0.011225,                   0,             0.95452,             0.94647,              0.9738,             0.71292,            0.021531,           0.0069512,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.01948,            0.010762,                   0,             0.95815,              0.9496,             0.97802,             0.71963,            0.021274,           0.0068107,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.019133,            0.010382,                   0,             0.95967,             0.94684,               0.974,             0.71345,            0.021382,           0.0068677,                   0,             0.00076,             0.00076,             0.00076
