               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092858,            0.032974,                   0,             0.17602,             0.37135,             0.16675,            0.043019,            0.061136,            0.020348,                   0,              0.0784,              0.0024,              0.0024
                   1,             0.05838,            0.027209,                   0,             0.52882,             0.66048,             0.55186,             0.22654,              0.0504,               0.016,                   0,            0.055884,           0.0048838,           0.0048838
                   2,            0.052574,            0.021364,                   0,             0.63131,             0.70399,              0.7217,             0.35559,            0.050336,            0.011014,                   0,            0.033351,           0.0073512,           0.0073512
                   3,            0.049955,            0.019262,                   0,             0.56274,             0.66313,             0.59061,             0.29326,             0.04814,            0.011459,                   0,            0.010802,            0.009802,            0.009802
                   4,            0.045241,            0.017227,                   0,             0.70946,              0.7931,             0.72656,             0.33392,            0.046601,            0.009778,                   0,            0.009868,            0.009868,            0.009868
                   5,            0.040374,            0.016054,                   0,             0.78726,             0.83436,             0.87461,             0.44335,             0.03431,           0.0091269,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.037064,            0.014747,                   0,             0.92029,              0.9496,             0.94692,             0.59993,            0.033917,            0.008585,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.034814,            0.014514,                   0,             0.92879,             0.93103,             0.95696,             0.53104,            0.033985,            0.008887,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.032467,             0.01413,                   0,             0.88918,             0.95772,             0.96055,             0.57842,            0.029493,           0.0080043,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.032906,             0.01389,                   0,             0.89513,             0.95089,             0.95445,             0.57757,            0.031027,           0.0079574,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.031388,            0.013616,                   0,             0.92937,             0.94236,             0.95893,             0.59498,            0.027652,            0.007977,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.028762,            0.013403,                   0,             0.94896,             0.93709,             0.96776,             0.61923,            0.029806,           0.0073947,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.028762,            0.014079,                   0,             0.92473,             0.93103,             0.96337,             0.62448,            0.026706,           0.0078678,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.028414,             0.01327,                   0,             0.93273,             0.91949,              0.9566,             0.64216,            0.026027,           0.0079125,                   0,            0.009604,            0.009604,            0.009604
                  14,              0.0271,            0.012111,                   0,             0.91553,             0.96021,             0.96339,             0.66627,            0.026165,           0.0074934,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.026956,            0.012623,                   0,             0.92281,             0.95225,             0.96132,             0.65872,            0.024537,           0.0076967,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.027116,            0.012426,                   0,             0.93977,             0.95198,              0.9669,             0.65878,            0.026078,           0.0073603,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.026308,            0.012687,                   0,             0.92607,             0.91512,              0.9602,             0.63003,            0.027212,           0.0076711,                   0,            0.009472,            0.009472,            0.009472
