               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072195,            0.070603,                   0,             0.76586,              0.9218,             0.83423,             0.38538,            0.042521,            0.034629,                   0,            0.070132,           0.0033186,           0.0033186
                   1,            0.049556,            0.054066,                   0,             0.90345,             0.94574,             0.95008,             0.52789,            0.039544,            0.030127,                   0,            0.039474,           0.0059934,           0.0059934
                   2,            0.041561,            0.049076,                   0,             0.94394,             0.95244,             0.98737,             0.62726,            0.031114,            0.026976,                   0,           0.0081551,           0.0080082,           0.0080082
                   3,            0.035089,            0.044988,                   0,             0.98544,             0.98027,             0.99324,             0.68024,            0.028528,            0.025246,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.030973,            0.042969,                   0,             0.98549,             0.98299,             0.99362,              0.7059,            0.027166,            0.024068,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.027629,            0.040681,                   0,             0.98824,             0.98718,             0.99372,               0.736,            0.022888,            0.023109,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.025128,             0.03936,                   0,             0.98589,             0.98685,             0.99356,             0.74385,            0.022159,            0.022885,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.023195,            0.037368,                   0,             0.98838,             0.99342,             0.99418,             0.81511,            0.017412,            0.020525,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.021325,            0.036352,                   0,             0.98962,             0.99013,             0.99418,              0.8052,            0.017763,            0.020639,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.020122,            0.035161,                   0,             0.99145,             0.99172,             0.99427,             0.81803,            0.016929,             0.02026,                   0,             0.00208,             0.00208,             0.00208
