               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073991,            0.071462,                   0,             0.82028,              0.9247,             0.88265,              0.4198,            0.041222,            0.036381,                   0,            0.070288,           0.0033013,           0.0033013
                   1,            0.050215,            0.053966,                   0,             0.79513,             0.90231,             0.92452,             0.53789,            0.037503,            0.030127,                   0,            0.040267,           0.0066127,           0.0066127
                   2,            0.044678,            0.049519,                   0,             0.96883,             0.96744,              0.9909,             0.62369,            0.030886,            0.029153,                   0,            0.010223,           0.0099022,           0.0099022
                   3,            0.037679,            0.045592,                   0,             0.97285,             0.98126,             0.99083,             0.70076,            0.025574,            0.026215,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.032508,            0.043965,                   0,             0.98584,              0.9842,             0.99268,             0.73982,            0.022658,            0.024418,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.030232,            0.041589,                   0,             0.98931,             0.98422,             0.99355,             0.75218,            0.020383,            0.023906,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.028102,            0.041118,                   0,             0.98815,             0.98725,             0.99398,              0.6813,            0.028126,            0.024755,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.027123,            0.039082,                   0,              0.9935,             0.98718,             0.99438,             0.78986,            0.019142,            0.021894,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.025963,            0.038585,                   0,              0.9885,             0.99112,             0.99438,             0.77139,             0.01948,            0.022202,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.024796,            0.037818,                   0,              0.9921,              0.9914,             0.99449,              0.7442,            0.022783,            0.022691,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.023749,            0.036861,                   0,             0.98875,             0.99112,              0.9934,              0.7728,            0.019276,            0.021446,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.023212,             0.03631,                   0,             0.99048,             0.99181,             0.99409,             0.75908,            0.021674,            0.021574,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.023021,             0.03582,                   0,             0.98778,             0.99342,              0.9944,             0.81078,            0.017162,              0.0207,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.022091,            0.034799,                   0,             0.99406,             0.98981,             0.99435,             0.81167,            0.017619,             0.01996,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.021412,            0.034604,                   0,             0.99293,             0.98981,             0.99408,              0.8343,            0.015501,            0.019366,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.021097,            0.034117,                   0,             0.99242,             0.99003,             0.99407,             0.83727,            0.015043,            0.018562,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.021009,            0.033811,                   0,             0.99331,             0.99211,             0.99425,             0.83202,             0.01566,            0.019634,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.020887,            0.034198,                   0,             0.99072,             0.99211,              0.9942,             0.82405,            0.016183,            0.020251,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.020422,            0.033025,                   0,             0.99581,             0.98816,             0.99428,             0.83065,            0.015841,            0.019009,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.020132,            0.033138,                   0,             0.99501,             0.99013,             0.99432,             0.81375,            0.017703,            0.019602,                   0,            0.009406,            0.009406,            0.009406
                  20,             0.02023,            0.032707,                   0,             0.99318,             0.99145,             0.99423,             0.82999,            0.016416,            0.018728,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.019445,            0.032195,                   0,             0.99343,             0.99444,             0.99434,             0.82673,             0.01645,             0.01914,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.019343,            0.032148,                   0,             0.99473,             0.99323,             0.99421,             0.85312,            0.014196,            0.018205,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.019522,            0.031662,                   0,             0.99017,             0.99421,             0.99404,             0.84798,            0.015028,            0.018297,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.018846,            0.031424,                   0,             0.99538,             0.99282,             0.99428,             0.84841,            0.014923,            0.018553,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.018704,            0.031017,                   0,             0.99623,             0.99507,              0.9943,             0.86492,            0.013628,             0.01789,                   0,            0.009208,            0.009208,            0.009208
                  26,              0.0184,            0.030377,                   0,             0.99637,             0.99215,             0.99427,             0.84701,            0.014894,            0.017964,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.018348,            0.030451,                   0,             0.99369,             0.99638,             0.99428,             0.86191,            0.014245,              0.0172,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.018364,            0.030558,                   0,             0.99654,             0.99112,             0.99432,             0.86027,            0.014747,            0.018196,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.018008,            0.030169,                   0,             0.99482,              0.9954,             0.99433,             0.86269,             0.01412,            0.017284,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.018299,            0.030246,                   0,             0.99507,             0.99611,             0.99426,             0.86605,             0.01419,            0.016671,                   0,            0.009043,            0.009043,            0.009043
                  31,             0.01763,            0.030039,                   0,             0.99557,             0.99671,             0.99429,             0.86723,            0.013673,            0.016847,                   0,             0.00901,             0.00901,             0.00901
                  32,             0.01816,            0.030514,                   0,              0.9967,             0.99419,             0.99439,             0.88466,            0.012619,            0.016196,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.017754,             0.03042,                   0,             0.99551,             0.99441,             0.99431,             0.87041,            0.013878,            0.016916,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.017764,            0.030063,                   0,             0.99469,             0.99474,             0.99435,             0.87839,            0.012917,            0.017226,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.017531,            0.029848,                   0,             0.99536,             0.99737,             0.99417,              0.8724,            0.013776,            0.016542,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.017254,            0.029608,                   0,             0.99312,             0.99695,             0.99423,             0.87167,             0.01281,            0.016527,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.017178,            0.029261,                   0,             0.99474,             0.99478,             0.99432,             0.86778,            0.013966,             0.01679,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.016962,             0.02911,                   0,             0.99704,             0.99637,             0.99438,              0.8818,            0.013445,            0.016495,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.016998,            0.028879,                   0,             0.99442,             0.99551,             0.99434,              0.8784,            0.013039,            0.015985,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.017136,            0.028803,                   0,              0.9962,             0.99277,             0.99434,             0.88024,            0.012509,            0.016679,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.016723,            0.028747,                   0,             0.99452,             0.99737,              0.9943,             0.89354,            0.012033,            0.015244,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.016738,            0.028704,                   0,             0.99605,             0.99605,             0.99441,             0.86737,            0.013993,            0.016564,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.016317,            0.028194,                   0,             0.99507,             0.99599,             0.99436,             0.87559,            0.013203,            0.016007,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.016456,            0.028354,                   0,             0.99419,             0.99671,             0.99417,             0.88433,            0.012977,             0.01584,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.016262,            0.027853,                   0,             0.99312,             0.99651,             0.99426,             0.87133,            0.013542,            0.016244,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.016233,             0.02788,                   0,             0.99605,             0.99632,             0.99435,             0.88786,            0.012395,            0.016143,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.016195,            0.027922,                   0,             0.99667,             0.99605,             0.99434,             0.89026,            0.011857,             0.01543,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.016359,            0.027919,                   0,             0.99371,             0.99836,             0.99429,             0.87465,             0.01332,            0.016125,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.016034,            0.027504,                   0,             0.99704,             0.99533,             0.99433,             0.88438,            0.012701,            0.015828,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.016311,            0.027661,                   0,             0.99683,             0.99441,             0.99433,              0.8959,            0.011704,            0.015313,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.016027,            0.027754,                   0,             0.99641,             0.99474,             0.99443,              0.8757,            0.013618,            0.016424,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.015886,            0.027052,                   0,             0.99624,             0.99704,             0.99438,             0.89027,             0.01268,            0.015595,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.015784,            0.027711,                   0,             0.99331,             0.99671,             0.99427,             0.88206,            0.013005,            0.016486,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.015553,            0.027242,                   0,             0.99446,             0.99573,             0.99417,             0.89171,            0.012336,            0.015269,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.015846,             0.02695,                   0,             0.99677,             0.99507,             0.99437,             0.90237,            0.011232,            0.015285,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.015576,            0.027215,                   0,             0.99605,             0.99549,              0.9943,             0.89383,            0.012111,            0.015389,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.015499,            0.026945,                   0,             0.99408,             0.99803,             0.99431,             0.88401,            0.012322,            0.015561,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.015328,            0.026634,                   0,             0.99688,              0.9977,             0.99436,             0.89936,            0.011606,            0.014903,                   0,            0.008119,            0.008119,            0.008119
                  59,             0.01556,            0.027336,                   0,             0.99514,             0.99638,             0.99435,             0.89787,            0.011795,            0.015241,                   0,            0.008086,            0.008086,            0.008086
                  60,             0.01513,            0.026758,                   0,             0.99558,             0.99573,             0.99433,             0.89919,            0.011692,            0.015336,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.01521,            0.026472,                   0,             0.99541,             0.99804,             0.99432,             0.90383,            0.011406,            0.014842,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.015341,            0.026609,                   0,              0.9946,             0.99605,             0.99428,             0.90386,            0.011518,            0.015513,                   0,            0.007987,            0.007987,            0.007987
