               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078161,            0.033514,             0.02659,           0.0046752,             0.96943,             0.18024,            0.069373,            0.046073,            0.020285,            0.027203,              0.0706,           0.0032667,           0.0032667
                   1,            0.049373,            0.029423,            0.024595,             0.30806,             0.58947,             0.35616,             0.15575,            0.041899,            0.011544,            0.019921,            0.040164,           0.0061644,           0.0061644
                   2,            0.045878,            0.022084,            0.015976,             0.42531,             0.70254,             0.50132,             0.21756,            0.055087,            0.010778,           0.0025884,           0.0092888,           0.0086221,           0.0086221
                   3,            0.043557,            0.018695,           0.0040959,             0.86276,             0.88395,             0.91577,             0.41423,            0.035555,             0.01013,           0.0010681,             0.00802,             0.00802,             0.00802
                   4,            0.038689,            0.017101,              0.0021,             0.88193,             0.86163,             0.93799,             0.54597,            0.031736,           0.0081139,           0.0014512,             0.00802,             0.00802,             0.00802
                   5,            0.035141,            0.016565,           0.0014882,             0.73977,             0.81878,             0.83955,             0.48549,            0.031993,           0.0083412,            0.010673,             0.00736,             0.00736,             0.00736
                   6,            0.033092,             0.01655,           0.0013543,             0.92123,             0.91891,             0.94772,             0.57457,            0.028741,           0.0075481,          0.00087686,              0.0067,              0.0067,              0.0067
                   7,             0.03178,            0.015495,          0.00097389,             0.89727,             0.90553,             0.94017,              0.5727,            0.027602,           0.0075848,          0.00053957,             0.00604,             0.00604,             0.00604
                   8,            0.029733,             0.01575,          0.00087237,             0.88733,             0.92182,             0.94176,             0.59071,            0.026661,           0.0074359,          0.00055011,             0.00538,             0.00538,             0.00538
                   9,            0.029124,            0.014534,          0.00074115,             0.91234,             0.92748,             0.95364,             0.61694,            0.025753,           0.0072623,          0.00052334,             0.00472,             0.00472,             0.00472
                  10,             0.02799,              0.0143,          0.00064461,             0.94621,             0.89237,             0.96458,             0.61927,            0.025378,           0.0072765,          0.00047312,             0.00406,             0.00406,             0.00406
                  11,            0.026773,            0.014184,          0.00074255,             0.93141,             0.91936,             0.96451,             0.61718,            0.025453,           0.0072549,          0.00035436,              0.0034,              0.0034,              0.0034
                  12,            0.026312,            0.014363,          0.00036065,             0.94133,              0.9245,             0.96374,             0.63277,            0.024704,           0.0070331,          0.00019888,             0.00274,             0.00274,             0.00274
                  13,            0.025575,            0.014189,            0.000271,             0.94697,              0.9245,              0.9691,               0.634,            0.025012,           0.0070054,          0.00018625,             0.00208,             0.00208,             0.00208
                  14,            0.024974,            0.013458,          0.00023175,             0.93735,             0.94629,             0.97361,             0.64929,            0.023843,            0.006804,          0.00013835,             0.00142,             0.00142,             0.00142
