               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073432,            0.058997,                   0,             0.71875,                 0.7,             0.71909,              0.3079,            0.041751,           0.0082301,                   0,            0.070156,            0.003316,            0.003316
                   1,            0.053626,            0.053258,                   0,             0.94793,             0.93959,               0.975,              0.5536,            0.029646,           0.0056364,                   0,            0.039717,           0.0062105,           0.0062105
                   2,            0.046099,            0.050766,                   0,             0.94835,             0.91935,             0.95212,             0.48782,            0.029855,           0.0054459,                   0,           0.0088385,           0.0086649,           0.0086649
                   3,             0.04096,            0.049195,                   0,             0.95528,             0.96774,             0.98435,             0.62478,             0.02169,           0.0047325,                   0,             0.00802,             0.00802,             0.00802
                   4,            0.038345,            0.047579,                   0,             0.95124,             0.94405,             0.98005,             0.62759,            0.025323,           0.0052161,                   0,             0.00802,             0.00802,             0.00802
                   5,            0.036657,            0.046303,                   0,             0.96065,              0.9871,             0.98678,             0.68897,             0.02137,           0.0043278,                   0,             0.00736,             0.00736,             0.00736
                   6,            0.035494,            0.044682,                   0,             0.98025,             0.96069,              0.9898,              0.6692,             0.02201,           0.0045065,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.034516,            0.044686,                   0,             0.96496,             0.97706,             0.99041,              0.6844,             0.02086,           0.0045597,                   0,             0.00604,             0.00604,             0.00604
                   8,            0.033685,            0.043709,                   0,             0.95848,              0.9871,             0.98979,             0.70327,            0.021979,             0.00427,                   0,             0.00538,             0.00538,             0.00538
                   9,            0.033057,            0.043696,                   0,             0.97438,             0.99032,             0.99358,             0.72007,            0.023067,           0.0042769,                   0,             0.00472,             0.00472,             0.00472
                  10,            0.032284,            0.042661,                   0,             0.97415,             0.99355,             0.99365,             0.73054,            0.019988,           0.0042436,                   0,             0.00406,             0.00406,             0.00406
                  11,              0.0316,            0.041945,                   0,             0.97334,             0.98387,             0.99301,             0.73602,            0.019184,           0.0040868,                   0,              0.0034,              0.0034,              0.0034
                  12,            0.031074,            0.041869,                   0,             0.97981,             0.98387,             0.99282,             0.74253,            0.019019,           0.0039759,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.030514,            0.041331,                   0,             0.96919,             0.99355,             0.99321,             0.75156,            0.018688,           0.0039691,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.029977,            0.040553,                   0,             0.97762,             0.98634,             0.99364,             0.76187,            0.019039,           0.0039035,                   0,             0.00142,             0.00142,             0.00142
